DUE,STATUS,TYPE,TOPIC,CLASS
4/4/22,,Reading,13 Fluids,Phys 201
4/4/22,,Reading,8.8,Phys 211
4/4/22,,Homework,HW 9,Math 216
4/5/22,,Lab,Vibrating Strings,Phys 211
4/5/22,,Homework,Lab Report 10,Phys 211
4/6/22,,Reading,12.1 Parametric Equations,Math 172
4/6/22,,Reading,DD CPP 12.4-12.6,Cpt_S 122
4/6/22,,Homework,PA 6,Cpt_S 122
4/6/22,,Quiz,Quiz 7,Cpt_S 122
4/6/22,,Reading,14 Oscillations,Phys 201
4/6/22,,Reading,8.9,Math 216
4/8/22,,Reading,12.2 Polar Coordinates,Math 172
4/8/22,,Reading,DD CPP 12.8,Cpt_S 122
4/8/22,,Reading,14 Oscillations,Phys 201
4/8/22,,Reading,9.1,Math 216
4/8/22,,Homework,Written 11,Math 172
4/11/22,,Reading,12.3 Calculus with Polar,Math 172
4/11/22,,Reading,15 Traveling Waves,Phys 201
4/11/22,,Reading,9.2,Math 216
4/11/22,,Homework,HW 10,Math 216
4/12/22,,Lab,Ballistic Pendulum,Phys 211
4/12/22,,Homework,Lab Report 11,Phys 211
4/13/22,,Homework,PA 7,Math 216
4/13/22,,Quiz,Quiz 8,Cpt_S 122
4/13/22,,Reading,15 Traveling Waves,Phys 201
4/13/22,,Reading,9.3,Math 216
4/14/22,,Exam,Exam 3 8:30 PM,Math 172
4/15/22,,Reading,13.1 Vectors in the plane,Math 172
4/15/22,,Reading,16 Superposition,Phys 201
4/15/22,,Reading,9.4,Math 216
4/15/22,,Homework,Written 12,Math 172
4/18/22,,Reading,13.2 Vectors in 3D,Math 172
4/18/22,,Reading,DD CPP 17.1-17.3,Cpt_S 122
4/18/22,,Reading,16 Superposition,Phys 201
4/18/22,,Reading,9.5,Math 216
4/18/22,,Homework,HW 11,Math 216
4/20/22,,Reading,13.3 Dot Product,Math 172
4/20/22,,Reading,DD CPP 17.5-17.10,Cpt_S 122
4/20/22,,Reading,17 Macroscopic Description of Matter,Phys 201
4/20/22,,Reading,9.6,Math 216
4/22/22,,Reading,13.4 Cross Product,Math 172
4/22/22,,Exam,Exam III,Phys 201
4/25/22,,Reading,13.5 Lines and Planes in Space,Math 172
4/25/22,,Reading,DD CPP 15.1-15.4,Cpt_S 122
4/25/22,,Reading,18 First Law of Thermodynamics,Phys 201
4/25/22,,Homework,HW 12,Math 216
4/27/22,,Homework,PA 8,Cpt_S 122
4/27/22,,Reading,18 First Law of Thermodynamics,Phys 201
4/29/22,,Reading,19 Micro/Macro Connection,Phys 201
5/2/22,,Exam,Final Exam 7:10PM-10 PM,Math 172
5/2/22,,Final,Final Exam 10:10AM-12:10PM,Cpt_S 122
5/2/22,,Final,Final Exam 8AM-10AM,Phys 201
5/2/22,,Final,Final Exam 8AM-10AM,Math 216
